pair_id,n_agree_regular,mean_uv_regular,n_agree_counter,mean_uv_counter,n_agree_max,n_agree_min,n_agree_gap
1518,2,-1.2246,5,-1.4351,5,2,3
1519,3,-1.5713,3,-2.0462,3,3,0
1520,2,-1.2797,2,-1.8412,2,2,0
1521,4,-0.9971,1,-2.1649,4,1,3
1522,3,-1.9277,2,-2.0235,3,2,1
1523,3,-2.1209,2,-1.9555,3,2,1
1524,4,-1.4773,2,-1.5385,4,2,2
1525,6,-1.6438,3,-1.2622,6,3,3
1526,1,-0.8264,2,-1.3129,2,1,1
1527,0,,2,-1.0548,2,0,2
1528,2,-1.6352,3,-1.744,3,2,1
1529,2,-2.2109,1,-1.3492,2,1,1
1530,3,-1.5962,1,-1.2553,3,1,2
1531,3,-2.7044,2,-1.1831,3,2,1
1532,3,-1.7841,3,-2.315,3,3,0
1533,3,-1.4532,2,-1.55,3,2,1
1534,2,-1.2916,3,-1.569,3,2,1
1535,2,-1.9493,4,-2.3018,4,2,2
1536,3,-1.8341,2,-2.0313,3,2,1
1537,2,-1.6946,2,-1.6365,2,2,0
1538,4,-2.0468,4,-1.7938,4,4,0
1539,2,-2.0345,2,-1.7453,2,2,0
1540,2,-2.4498,3,-1.7412,3,2,1
1541,2,-2.1976,2,-2.9892,2,2,0
1542,4,-1.3236,2,-2.437,4,2,2
1543,1,-1.9608,2,-1.937,2,1,1
1544,2,-1.0005,3,-1.5494,3,2,1
1545,1,-2.2416,3,-2.1245,3,1,2
1546,2,-1.3191,2,-2.6478,2,2,0
1547,3,-1.0807,2,-2.001,3,2,1
1548,3,-1.1106,1,-2.4929,3,1,2
1549,3,-1.0806,3,-1.5981,3,3,0
1550,3,-2.0288,3,-2.9875,3,3,0
1551,5,-1.1438,1,-2.419,5,1,4
